K_per_kw_month,winning_scenario,mw_chosen,regime_label
5.0,LMP + toll,100.0,lmp_plus_toll_100mw
8.0,LMP + toll,100.0,lmp_plus_toll_100mw
10.828,LMP + toll,100.0,lmp_plus_toll_100mw
12.027,LMP + toll,60.0,lmp_plus_toll_60mw
