mw_reserved,base_mean_$M,base_std_$M,lease_at_default_$M,net_at_default_K_mean_$M,solve_s
0.0,19748.99800446175,7.38409371685307,0.0,19748.99800446175,0.0
20.0,19749.708077583433,6.801803902310071,0.96,19748.748077583437,9.656533241271973
40.0,19750.416340561627,6.2219950297374025,1.92,19748.496340561625,7.628939390182495
60.0,19751.122433086355,5.645647508157725,2.88,19748.242433086354,10.622079372406006
80.0,19751.826002040107,5.073979726096783,3.84,19747.986002040107,10.98938512802124
100.0,19752.525992019884,4.508978725808278,4.8,19747.725992019885,7.870683908462524
