scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,toll_lease_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s
LMP only,19748.99800446175,7.38409371685307,19732.4949692943,19754.19239336705,0.0,37.3404537957105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551894187927246
LMP + toll,19747.725992019885,4.508978725808278,19737.93211756597,19751.271845788564,0.0,29.23398347528293,4.5784827622937465,4.800000000000001,0.0,0.0,0.0,0.0,0.0,11.944751501083374
LMP + BESS Houston,19747.79892411445,7.040837141484047,19732.08809375534,19752.74999401704,2.332929562968113,36.31681898792833,0.0,0.0,1.555644718052966,3.0,56631.435513948,13923.984861700003,38176.93584462,13.49546766281128
LMP + BESS West,19748.070986036357,7.034382979543856,19732.28065492119,19752.985377316054,2.490979093961648,36.215787600301454,0.0,0.0,1.5426637147677758,3.0,59434.22972258001,14389.427404960003,40290.06397264,13.356827974319458
LMP + BESS both,19746.871905689055,6.691315743525662,19731.873779382226,19751.542977966037,5.28896886432409,35.65721299991362,0.0,0.0,3.0983084328207418,6.0,116065.66523652802,21773.258280460006,85007.15380346001,18.216012716293335
LMP + toll + BESS Houston,19746.526911672583,4.172810117201953,19737.525242027015,19749.87068343871,3.0782208446911277,28.955639949223727,4.5784827622937465,4.800000000000001,1.555644718052963,3.0,56631.43551394797,7205.828297639835,44895.092408680015,11.812848329544067
LMP + toll + BESS West,19746.79897359449,4.162632689140772,19737.71780319286,19750.11434605093,2.504086900669467,28.12242508658171,4.5784827622937465,4.800000000000001,1.5426637147677758,3.0,59434.22972258001,14335.848761360003,40343.64261624,14.128527402877808
LMP + toll + BESS both,19745.59989324719,3.8277383494891106,19737.3109276539,19748.716761461892,5.87251112727939,28.134284942441294,4.5784827622937465,4.800000000000001,3.0983084328207378,6.0,116065.66523652796,16357.925733699836,90422.48635022002,16.763304233551025
