cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,toll_lease_$M,binding_frac
peaker (720),720.0,19746.776104400185,5.9693956419369965,-2.2219000615674305,58113.96084744,3.462737785408132,4.800000000000001,0.018277589336579105
intermediate (1500),1500.0,19747.4343889632,5.051848436448675,-1.563615498555373,72214.06155364,4.352920738828442,4.800000000000001,0.010901881273194445
near-nameplate (2280),2280.0,19747.703530068626,4.553731538982474,-1.2944743931264384,74597.79162426,4.562521728920868,4.800000000000001,0.007409042042518832
uncapped (None),inf,19747.725992019885,4.508978725808278,-1.2720124418662453,74693.79162426,4.5784827622937465,4.800000000000001,
