scenario,delta_mean,delta_std,delta_p05,delta_p95
LMP only,0.0,0.0,0.0,0.0
LMP + toll,-1.936716331003554,0.7842161944210231,-2.919424635073665,-0.7612790013263294
LMP + BESS Houston,-1.2723666118337134,0.10179853036707712,-1.4060986217335085,-1.1348150311005156
LMP + BESS West,-1.0060130734258563,0.11820516666859888,-1.1998107798450293,-0.8631977719720453
LMP + BESS both,-2.2783796852600062,0.20644771020621625,-2.5844569474962555,-2.0191618685621506
LMP + toll + BESS Houston,-3.209082942837631,0.8731968189858919,-4.325636177060915,-1.9246151320072389
LMP + toll + BESS West,-2.9427294044291195,0.8734474288168969,-4.0743360291686255,-1.6393515583957197
LMP + toll + BESS both,-4.215096016263415,0.9636769743228037,-5.472298505483195,-2.8026876890729913
