site,physical_net_$M,virtual_floating_$M,virtual_breakeven_$M,virtual_net_@$3M_$M,phys_minus_virt_$M
HOUSTON,-1.9831629021683062,1.5469396609929202,1.5469396609929202,-1.4530603390070798,-0.5301025631612264
WEST,-1.9831629021683062,1.7955164693994143,1.7955164693994143,-1.2044835306005857,-0.7786793715677205
