scenario,delta_mean,delta_std,delta_p05,delta_p95
LMP only,0.0,0.0,0.0,0.0
LMP + toll,-1.9691224019740183,0.7828981574853294,-2.947363335527007,-0.79883175820778
LMP + BESS Houston,-1.2968211945102666,0.10098673173057883,-1.4295797740536726,-1.1607619049616915
LMP + BESS West,-1.0334793082022953,0.11711674378179272,-1.2254170396607151,-0.8914927680561959
LMP + BESS both,-2.3303005027132166,0.20482004737175852,-2.6338574109387993,-2.072295557214784
LMP + toll + BESS Houston,-3.2659435964842123,0.871338191149524,-4.377054707651405,-1.9870532957362232
LMP + toll + BESS West,-3.0026017101764593,0.8716587806018531,-4.128739299386689,-1.7048701847646954
LMP + toll + BESS both,-4.299422904686944,0.9613149059004168,-5.550303280303888,-2.893091722291502
