cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,toll_lease_$M,binding_frac
peaker (720),720.0,19748.981644788437,1.4241645636280404,-2.8117672092958674,58451.430776819994,3.411593574167181,4.800000000000001,0.018383727976807818
intermediate (1500),1500.0,19749.206238616778,1.38933427307293,-2.587173380954846,72389.14127116,4.214677538512286,4.800000000000001,0.010928312389969807
near-nameplate (2280),2280.0,19749.227953167498,1.3868253729461624,-2.5654588302374033,74379.27134178001,4.328213230470724,4.800000000000001,0.007387338639176917
uncapped (None),inf,19749.228224034683,1.3868136856662583,-2.5651879630523036,74410.87134178,4.330043731431647,4.800000000000001,
