scenario,delta_mean,delta_std,delta_p05,delta_p95
LMP only,0.0,0.0,0.0,0.0
LMP + toll,-2.5651879630523036,0.3244086940217748,-2.976505939155868,-2.0992723476842
LMP + BESS Houston,-1.3331001119454595,0.07906672934672732,-1.4263573619686212,-1.194376171233489
LMP + BESS West,-1.0634327031026622,0.09484155156243253,-1.2212028779746107,-0.9143656585309147
LMP + BESS both,-2.3965328150479035,0.15735017789939237,-2.6135694647879064,-2.0797416355417226
LMP + toll + BESS Houston,-3.8982880749981996,0.3982089566165037,-4.372407472729174,-3.3198692997772015
LMP + toll + BESS West,-3.6286206661550384,0.3843165815940603,-4.118805588103532,-2.975338452798133
LMP + toll + BESS both,-4.961720778100571,0.45884770692853644,-5.524758495155038,-4.16971476875242
