site,physical_net_$M,virtual_floating_$M,virtual_breakeven_$M,virtual_net_@$3M_$M,phys_minus_virt_$M
HOUSTON,-1.9943409046795055,1.5149648355258185,1.5149648355258185,-1.4850351644741815,-0.509305740205324
WEST,-1.9943409046795055,1.7710244790120242,1.7710244790120242,-1.2289755209879758,-0.7653653836915297
