site,x,freq,floating_mean_$M,floating_std_$M,floating_p05_$M,floating_p95_$M,breakeven_fixed_$M,fixed_payment_$M,net_at_physical_$M
HOUSTON,4,D,1.6710403414619142,0.2676302635973519,1.474426899846802,2.316390427705994,1.6710403414619142,3.0,-1.3289596585380858
WEST,4,D,1.9365076989111332,0.2779786499398483,1.6543698914842226,2.568869685883789,1.9365076989111332,3.0,-1.0634923010888668
