cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,toll_lease_$M,binding_frac
peaker (720),720.0,19745.25224015474,5.981372835333604,-2.118620687394359,58857.430776819994,3.6182756667542173,4.800000000000001,0.01851142020708157
intermediate (1500),1500.0,19745.925435335183,5.065472946282654,-1.4454255069530335,73341.41120054001,4.556631217032216,4.800000000000001,0.011072072946941427
near-nameplate (2280),2280.0,19746.196272933386,4.5691456761573965,-1.1745879087485083,75824.07134178,4.775548320705382,4.800000000000001,0.007530835969459144
uncapped (None),inf,19746.21875834606,4.524553727148083,-1.1521024960736395,75920.87134178,4.791616949764792,4.800000000000001,
