cadence,mean_$M,std_$M,p05_$M,p95_$M
90d,36369.294390119925,3.8426896727874897,36360.99869944797,36372.46541136976
85d,35583.82323537871,3.8426896727872584,35575.527544706754,35586.99425662855
75d,34139.54350952702,3.8426896727865705,34131.247818855074,34142.71453077686
74d,33973.22453531475,3.842689672787458,33964.9288446428,33976.39555656459
63d,31870.540187320625,3.8426896727871105,31862.244496648676,31873.71120857046
60d,31206.25949103286,3.8426896727877082,31197.96380036091,31209.4305122827
45d,27064.10097484794,3.842689672787513,27055.805284175996,27067.271996097777
30d,19744.231884168334,3.84268967278729,19735.936193496385,19747.40290541817
25d,15642.73982005355,3.8426896727874955,15634.4441293816,15645.910841303386
