scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP only,False,,36372.433366793724,7.398283986440813,36355.91831050592,36377.70120644502
LMP + BESS West,False,WEST,36371.580025623894,7.048084864875849,36355.776237670536,36376.5631927155
LMP + BESS Houston,False,HOUSTON,36371.29983378583,7.054436260365098,36355.5787989059,36376.320908836424
LMP + toll,True,,36371.28126429765,4.5245537271478,36361.48028388338,36374.885728738795
LMP + BESS both,False,"HOUSTON,WEST",36370.44649261599,6.704423210431262,36355.43672607052,36375.18289510691
LMP + toll + BESS West,True,WEST,36370.42792312782,4.177768800245253,36361.338211047994,36373.79909891039
LMP + toll + BESS Houston,True,HOUSTON,36370.147731289755,4.188170589690039,36361.14077228336,36373.54832042586
LMP + toll + BESS both,True,"HOUSTON,WEST",36369.294390119925,3.8426896727874897,36360.99869944797,36372.46541136976
