cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,toll_lease_$M,binding_frac
peaker (720),720.0,19736.119278329377,35.137532812363446,-0.5915131274830492,58621.830776819996,4.194551681402941,4.800000000000001,0.018437320971976902
intermediate (1500),1500.0,19737.944344996486,30.364101116902468,1.2335535396230262,72855.41120054001,5.691574866602681,4.800000000000001,0.010998703381724035
near-nameplate (2280),2280.0,19738.996746388813,27.27839642097464,2.2859549319510553,75146.87134178,6.434854599312368,4.800000000000001,0.00746357656188223
uncapped (None),inf,19739.099444113483,26.971608608618144,2.3886526566186514,75214.87134178,6.524228016745393,4.800000000000001,
