scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP + toll,True,,36364.16195006507,26.97160860861741,36284.65718897204,36374.885728738795
LMP + toll + BESS West,True,WEST,36363.52685102997,25.854866535048814,36287.42098375143,36373.79909891039
LMP + toll + BESS Houston,True,HOUSTON,36363.251544399296,25.846010526534542,36287.06604686854,36373.54832042586
LMP + toll + BESS both,True,"HOUSTON,WEST",36362.61644536418,24.729254282429686,36289.835246245784,36372.46541136976
LMP only,False,,36361.77329740845,41.639093740827356,36236.884486033654,36377.70120644502
LMP + BESS West,False,WEST,36361.138198373344,40.522856499283016,36239.56279142916,36376.5631927155
LMP + BESS Houston,False,HOUSTON,36360.862891742676,40.514478961138565,36239.04897095419,36376.320908836424
LMP + BESS both,False,"HOUSTON,WEST",36360.22779270756,39.39827510710857,36241.68677284774,36375.18289510691
