mw_reserved,base_mean_$M,base_std_$M,lease_at_default_$M,net_at_default_K_mean_$M,solve_s
0.0,76109.64299985056,41.641863347036704,0.0,76109.64299985056,0.0
20.0,76111.0759428913,38.70718855087211,0.96,76110.11594289131,8.853628873825073
40.0,76112.50782945541,35.77283541143538,1.92,76110.58782945541,9.795747995376587
60.0,76113.93861032659,32.838989485461624,2.88,76111.05861032658,9.81386923789978
80.0,76115.36784671345,29.905793935072847,3.84,76111.52784671345,8.766111612319946
100.0,76116.79524137084,26.97346117980797,4.8,76111.99524137082,8.786380052566528
