scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP + toll,True,,36365.67123829299,26.97761074876807,36286.10173794718,36376.33435174015
LMP + toll + BESS West,True,WEST,36364.96229468633,25.860342812847367,36288.795075907845,36375.176852002514
LMP + toll + BESS Houston,True,HOUSTON,36364.695183088,25.85176019821601,36288.45096947107,36374.9331893903
LMP + toll + BESS both,True,"HOUSTON,WEST",36363.98623948134,24.734477838995762,36291.14919006685,36373.779267413476
LMP only,False,,36363.40278066949,41.64608611474519,36238.446494565105,36379.25489931864
LMP + BESS West,False,WEST,36362.69383706283,40.529301560371124,36241.05258462157,36378.047883267645
LMP + BESS Houston,False,HOUSTON,36362.4267254645,40.52123912462094,36240.61302717155,36377.81249996863
LMP + BESS both,False,"HOUSTON,WEST",36361.71778185783,39.40448777011676,36243.139584695986,36376.605483917636
