K_per_kw_month,winning_scenario,mw_chosen,regime_label
5.0,LMP + toll,100.0,lmp_plus_toll_100mw
5.374,LMP + toll,100.0,lmp_plus_toll_100mw
5.964,LMP + toll,60.0,lmp_plus_toll_60mw
8.0,LMP only,,lmp_only
