scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP + toll,True,,36365.09300039315,26.975499875554842,36285.548519448756,36375.77992924989
LMP + toll + BESS West,True,WEST,36364.411746768514,25.858429727354032,36288.26827724477,36374.6489264963
LMP + toll + BESS Houston,True,HOUSTON,36364.14156375914,25.849743575190278,36287.920090218955,36374.40267465742
LMP + toll + BESS both,True,"HOUSTON,WEST",36363.46031013451,24.73265903654206,36290.644926452886,36373.275303295166
LMP only,False,,36362.791723142334,41.643451976064405,36237.86074073834,36378.672264509165
LMP + BESS West,False,WEST,36362.1104695177,40.52687342790674,36240.49391018934,36377.49112258576
LMP + BESS Houston,False,HOUSTON,36361.84028650834,40.518692660342296,36240.02650546878,36377.25315329211
LMP + BESS both,False,"HOUSTON,WEST",36361.15903288369,39.402147377376615,36242.58048159944,36376.072011368706
