scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,toll_lease_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s
LMP only,19750.568650493213,1.6604392105256756,19747.86691510059,19752.63870049342,0.0,35.76980776424605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.067663669586182
LMP + toll,19748.06951601583,1.4285123531354473,19745.70744986812,19749.8232227872,0.0,29.00836281880242,4.460579422836129,4.800000000000001,0.0,0.0,0.0,0.0,0.0,11.006205320358276
LMP + BESS Houston,19749.284914483087,1.5955145771851353,19746.692229901506,19751.258402884836,2.156063534447775,34.80121057225897,0.0,0.0,1.408396736565433,3.0,56529.249994162004,13795.502180039999,38211.40784808,13.976844072341919
LMP + BESS West,19749.56074219671,1.5795217507645793,19746.99479072798,19751.500686763906,2.344966387096355,34.70228601282209,0.0,0.0,1.4203964350270284,3.0,59047.829616852,14174.576820180002,40149.42646054,14.847670316696167
LMP + BESS both,19748.27700618658,1.5144588796336786,19745.8201055289,19750.12038915532,4.90108829939917,34.133747198690045,0.0,0.0,2.8287931715924604,6.0,115577.07961101402,21853.047467320004,84477.86584152002,19.751984357833862
LMP + toll + BESS Houston,19746.785780005695,1.370786457317869,19744.532764669042,19748.48581447427,2.843014925501204,28.726717017868715,4.460579422836129,4.800000000000001,1.408396736565429,3.0,56529.24999416196,7058.457695559837,44948.45233256002,15.026424646377563
LMP + toll + BESS West,19747.06160771932,1.3467983281621811,19744.835325495515,19748.73659295879,2.341353190324903,27.93722787060701,4.460579422836129,4.800000000000001,1.4203964350270284,3.0,59047.829616852,14269.576733680002,40054.42654704,15.006531715393066
LMP + toll + BESS both,19745.77787170919,1.2893261992417697,19743.660640296435,19747.40290541817,5.47962953407758,27.950843487924775,4.460579422836129,4.800000000000001,2.8287931715924572,6.0,115577.07961101396,16253.277564159842,90077.63574468001,20.673394680023193
