K_per_kw_month,lease_at_100MW_$M,fixed100_net_mean_$M,fixed100_vs_lmp_only,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,lmp_only_mean_$M
0.0,0.0,19752.86951601582,2.300865522607637,100.0,19752.86951601582,2.300865522607637,19750.568650493213
1.0,0.6,19752.269516015822,1.7008655226090923,100.0,19752.269516015822,1.7008655226090923,19750.568650493213
2.0,1.2,19751.669516015827,1.1008655226141855,100.0,19751.669516015827,1.1008655226141855,19750.568650493213
2.5,1.5,19751.36951601582,0.8008655226076371,100.0,19751.36951601582,0.8008655226076371,19750.568650493213
3.0,1.8,19751.06951601583,0.5008655226156407,100.0,19751.06951601583,0.5008655226156407,19750.568650493213
3.5,2.1,19750.769516015822,0.2008655226090923,100.0,19750.769516015822,0.2008655226090923,19750.568650493213
4.0,2.4,19750.469516015823,-0.09913447739018011,0.0,19750.568650493213,0.0,19750.568650493213
6.0,3.6,19749.269516015822,-1.2991344773909077,0.0,19750.568650493213,0.0,19750.568650493213
8.0,4.8,19748.06951601583,-2.4991344773843593,0.0,19750.568650493213,0.0,19750.568650493213
12.0,7.2,19745.669516015827,-4.8991344773858145,0.0,19750.568650493213,0.0,19750.568650493213
