scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s
LMP only,95044.3272878541,1.129587765996261,95042.50385434122,95045.76573239578,0.0,32.25070822460555,0.0,0.0,0.0,0.0,0.0,0.0,9.542551040649414
LMP + toll,95045.48834338803,1.0357770918643268,95043.80989078467,95046.83021172936,0.0,27.962964597490586,3.1266880931670538,0.0,0.0,0.0,0.0,0.0,10.851543188095093
LMP + BESS Houston,95042.70691631373,1.0929302480739302,95040.94852843667,95044.10975571153,1.7918324991440948,31.426760370274415,0.0,1.2361518938589935,3.0,52797.930270959994,13202.3151939,35371.7806924,12.753822326660156
LMP + BESS West,95042.97623629124,1.0781875903924398,95041.23386676928,95044.36011686242,1.9422698321567815,31.304346515992293,0.0,1.2396831036220681,3.0,55552.16449960199,14072.36036,37035.63101768,14.366939067840576
LMP + BESS both,95041.35586475088,1.041578915362851,95039.67456037893,95042.70414017816,4.0729724460144645,30.81926877637475,0.0,2.4758349974810616,6.0,108350.09477056202,21603.44962306,78078.63764092,16.32598876953125
LMP + toll + BESS Houston,95043.86797184765,1.0014756205380035,95042.25456488013,95045.17423504511,2.312375662966762,27.659559906982086,3.1266880931670538,1.2361518938589915,3.0,52797.930270959965,7236.939913579927,41337.155972720015,13.61654019355774
LMP + toll + BESS West,95044.1372918252,0.9841273158705385,95042.53946761023,95045.42459619598,1.950454666962495,27.024787723683044,3.1266880931670538,1.2396831036220681,3.0,55552.16449960199,14037.90180636,37070.08957132,12.092989921569824
LMP + toll + BESS both,95042.51692028482,0.9499978732265157,95040.97863543997,95043.76861951174,4.530761589416718,26.989314292662,3.1266880931670538,2.47583499748106,6.0,108350.09477056198,16271.826270079928,83410.26099390001,19.42193102836609
