scenario,delta_mean,delta_std,delta_p05,delta_p95
LMP only,0.0,0.0,0.0,0.0
LMP + toll,-3.638944466051471,0.14144607994663824,-3.825071567599662,-3.418627249509882
LMP + BESS Houston,-1.6203715403852401,0.04665675169922444,-1.6758203356774175,-1.5345940319559304
LMP + BESS West,-1.3510515628533903,0.06181311886610825,-1.4545680263632677,-1.2513044615639957
LMP + BESS both,-2.971423103233974,0.0993371276548442,-3.1104960294374906,-2.7724398121266858
LMP + toll + BESS Houston,-5.259316006435256,0.18377996204852862,-5.490061708098802,-4.971917759555072
LMP + toll + BESS West,-4.9899960289042795,0.1816047522228509,-5.233729318495898,-4.665207873073814
LMP + toll + BESS both,-6.6103675692869,0.2249855945080155,-6.895795799878397,-6.2055798787368985
