scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP only,False,,95044.3272878541,1.129587765996261,95042.50385434122,95045.76573239578
LMP + BESS West,False,WEST,95042.97623629124,1.0781875903924398,95041.23386676928,95044.36011686242
LMP + BESS Houston,False,HOUSTON,95042.70691631373,1.0929302480739302,95040.94852843667,95044.10975571153
LMP + BESS both,False,"HOUSTON,WEST",95041.35586475088,1.041578915362851,95039.67456037893,95042.70414017816
LMP + toll,True,,95040.68834338804,1.0357770918643312,95039.00989078467,95042.03021172936
LMP + toll + BESS West,True,WEST,95039.33729182518,0.9841273158714402,95037.73946761023,95040.62459619598
LMP + toll + BESS Houston,True,HOUSTON,95039.06797184767,1.0014756205375657,95037.45456488013,95040.3742350451
LMP + toll + BESS both,True,"HOUSTON,WEST",95037.71692028482,0.9499978732270283,95036.17863543997,95038.96861951174
