mw_reserved,base_mean_$M,base_std_$M,lease_at_default_$M,net_at_default_K_mean_$M,solve_s
0.0,19748.591217533554,7.3875935630820395,0.0,19748.591217533554,0.0
20.0,19749.31225738002,6.80509991533121,0.96,19748.35225738002,10.11570930480957
40.0,19750.031467666828,6.225097491998841,1.92,19748.11146766683,10.058040618896484
60.0,19750.748466404482,5.648558651924122,2.88,19747.86846640448,10.982904434204102
80.0,19751.462905120665,5.076709780743694,3.84,19747.622905120665,10.216180086135864
100.0,19752.17370992008,4.511546057925022,4.8,19747.373709920084,8.00578260421753
