scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s
LMP only,95044.90294630964,1.1129269643941042,95043.10644107363,95046.32018623626,0.0,31.675049769054382,0.0,0.0,0.0,0.0,0.0,0.0,9.404276132583618
LMP + toll,95046.04638756042,1.0202956764763706,95044.39329665611,95047.36872153697,0.0,27.45192165065846,3.079686867624776,0.0,0.0,0.0,0.0,0.0,9.891621589660645
LMP + BESS Houston,95043.26225483959,1.076811606498028,95041.52983363444,95044.64441575155,1.754652100339578,30.85316316906613,0.0,1.2172301704037052,3.0,52805.73317456002,13454.16322504,35127.11133254001,12.199643611907959
LMP + BESS West,95043.52846009444,1.062289732282586,95041.81181725232,95044.89194636731,1.9178908949368294,30.756059417170004,0.0,1.2113674620172068,3.0,55637.581902203994,14074.965712939998,37111.60967512,12.669866561889648
LMP + BESS both,95041.88776862436,1.0262224555917752,95040.23128307764,95043.21617588263,4.028156107283311,30.289785929188657,0.0,2.428597632420912,6.0,108443.31507676402,21289.46574762,78478.38419802,16.050337076187134
LMP + toll + BESS Houston,95044.40569609035,0.986504469946495,95042.81668921694,95045.69295105229,2.277251501898894,27.152634452229485,3.079686867624776,1.2172301704037034,3.0,52805.733174559966,7293.875958559927,41287.398599020016,13.2818443775177
LMP + toll + BESS West,95044.67190134521,0.9694124029063445,95043.09815068137,95045.94048166803,1.917550396038311,26.53259079987557,3.079686867624776,1.2113674620172068,3.0,55637.581902203994,14052.3443946,37134.230993460005,13.018008470535278
LMP + toll + BESS both,95043.03120987515,0.9357908174041445,95041.51611829294,95044.26471118335,4.45923104304139,26.49773274655078,3.079686867624776,2.4285976324209098,6.0,108443.31507676399,16245.53831851993,83522.31162712003,14.707441329956055
