cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,binding_frac
peaker (720),720.0,95045.99556095687,1.0272339971899664,1.0926146472297842,47874.61355724,2.770875817035718,0.015057182705955616
intermediate (1500),1500.0,95046.04500512943,1.020006475593683,1.1420588197687176,53058.67926716,3.0636352811074414,0.008010066314486714
near-nameplate (2280),2280.0,95046.04637889622,1.0202999186528814,1.1434325865676511,53342.27926716,3.079549387403409,0.005297947581676678
uncapped (None),inf,95046.04638756042,1.0202956764763706,1.1434412507692469,53344.67926716,3.079686867624776,
