scenario,full_cost_mean_$M,variable_cost_mean_$M,leases_added_back_$M,toll_lease_$M,bess_lease_$M,std_$M,p05_$M,p95_$M
LMP only,76123.91348824746,76123.91348824746,0.0,0.0,0.0,1.6051883484087444,76121.33232524576,76125.91008193998
LMP + toll,76121.32231122228,76126.12231122228,4.800000000000001,4.800000000000001,0.0,1.3837652390100172,76119.05674401416,76123.03566555417
LMP + BESS Houston,76122.56393344201,76125.56393344201,3.0,0.0,3.0,1.5428988326654296,76120.08762565028,76124.46768258997
LMP + BESS West,76122.83154932316,76125.83154932316,3.0,0.0,3.0,1.5272081711785892,76120.38092523343,76124.70306588897
LMP + BESS both,76121.48199451773,76127.48199451773,6.0,0.0,6.0,1.4647854495355357,76119.13622563795,76123.26066653896
LMP + toll + BESS Houston,76119.97275641683,76127.77275641683,7.800000000000001,4.800000000000001,3.0,1.3283661006657663,76117.81204441866,76121.63450320429
LMP + toll + BESS West,76120.240372298,76128.040372298,7.800000000000001,4.800000000000001,3.0,1.304926210734226,76118.10534400183,76121.88067292408
LMP + toll + BESS both,76118.89081749255,76129.69081749255,10.8,4.800000000000001,6.0,1.2497628243987775,76116.86064440635,76120.48308833502
