scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP only,False,,148106.3377029061,1.6051883484098424,148103.75653990443,148108.33429659862
LMP + BESS West,False,WEST,148105.25576398178,1.5272081711752656,148102.8051398921,148107.1272805476
LMP + BESS Houston,False,HOUSTON,148104.98814810065,1.5428988326639819,148102.51184030896,148106.89189724863
LMP + BESS both,False,"HOUSTON,WEST",148103.90620917635,1.464785449531454,148101.5604402966,148105.68488119758
LMP + toll,True,,148103.7465258809,1.38376523900652,148101.4809586728,148105.4598802128
LMP + toll + BESS West,True,WEST,148102.66458695664,1.3049262107332085,148100.52955866046,148104.30488758266
LMP + toll + BESS Houston,True,HOUSTON,148102.39697107545,1.3283661006656506,148100.23625907733,148104.05871786294
LMP + toll + BESS both,True,"HOUSTON,WEST",148101.31503215118,1.2497628243964447,148099.28485906497,148102.9073029936
