cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,toll_lease_$M,binding_frac
peaker (720),720.0,76121.0803443823,1.4201705905956037,-2.8331438651666394,58071.33141984,3.380586909269419,4.800000000000001,0.018264181832427534
intermediate (1500),1500.0,76121.30102105661,1.386208266567066,-2.612467190850875,71776.59712975999,4.168415160030545,4.800000000000001,0.010835838938671497
near-nameplate (2280),2280.0,76121.32205664115,1.3837801142877233,-2.5914316063027947,73701.79712975999,4.277992984702289,4.800000000000001,0.007320051996901219
uncapped (None),inf,76121.32231122228,1.3837652390100172,-2.5911770251754205,73732.59712975999,4.279772163965642,4.800000000000001,
