scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,toll_lease_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s
LMP only,76123.91348824746,1.6051883484087444,76121.33232524576,76125.91008193998,0.0,34.29502179395531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470245599746704
LMP + toll,76121.32231122228,1.3837652390100172,76119.05674401416,76123.03566555417,0.0,27.806426655167428,4.279772163965642,4.800000000000001,0.0,0.0,0.0,0.0,0.0,10.615856885910034
LMP + BESS Houston,76122.56393344201,1.5428988326654296,76120.08762565028,76124.46768258997,2.046053173219977,33.33847903507091,0.0,0.0,1.3521507375475952,3.0,56544.586224770006,14175.558135060002,37845.46122524,13.769001722335815
LMP + BESS West,76122.83154932316,1.5272081711785892,76120.38092523343,76124.70306588897,2.2026017758159586,33.241821790353335,0.0,0.0,1.3377407037141518,3.0,59374.928259412,14696.942041646,39927.991989934,13.654823303222656
LMP + BESS both,76121.48199451773,1.4647854495355357,76119.13622563795,76123.26066653896,4.671521262315201,32.70814534474802,0.0,0.0,2.6898914412617465,6.0,115919.51448418201,22252.780837560003,84393.17255432,16.856465339660645
LMP + toll + BESS Houston,76119.97275641683,1.3283661006657663,76117.81204441866,76121.63450320429,2.7193465471055265,27.52317727016853,4.279772163965642,4.800000000000001,1.352150737547592,3.0,56544.58622476997,7371.084301099842,44649.93505920001,13.034184694290161
LMP + toll + BESS West,76120.240372298,1.304926210734226,76118.10534400183,76121.88067292408,2.200250737683311,26.750875613432804,4.279772163965642,4.800000000000001,1.3377407037141518,3.0,59374.928259412,14613.038069326001,40011.895962254,13.219022274017334
LMP + toll + BESS both,76118.89081749255,1.2497628243987775,76116.86064440635,76120.48308833502,5.242202707557043,26.790231651201935,4.279772163965642,4.800000000000001,2.6898914412617434,6.0,115919.51448418196,16310.03761605984,90335.91577582002,17.395662784576416
