mw_reserved,base_mean_$M,base_std_$M,lease_at_default_$M,net_at_default_K_mean_$M,solve_s
0.0,95044.51917373142,1.1240340524521177,0.0,95044.51917373142,0.0
20.0,95044.75626164433,1.104353685936478,0.96,95043.79626164433,10.852171182632446
40.0,95044.99281388626,1.084942841799214,1.92,95043.07281388628,9.960814476013184
60.0,95045.22864050545,1.0657965221301997,2.88,95042.34864050544,10.820153713226318
80.0,95045.46374953649,1.0470562454990033,3.84,95041.62374953648,11.017274379730225
100.0,95045.69799536216,1.0287792761530072,4.8,95040.89799536217,10.9037344455719
