scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s
LMP only,95044.51917373142,1.1240340524521177,95042.70471657605,95045.95055035908,0.0,32.05882234728678,0.0,0.0,0.0,0.0,0.0,0.0,8.48232889175415
LMP + toll,95045.69799536216,1.028779276153091,95044.03113667312,95047.03112447352,0.0,27.72501076932508,3.1549899472015897,0.0,0.0,0.0,0.0,0.0,8.709043741226196
LMP + BESS Houston,95042.8920288807,1.0875572549689423,95041.14229682503,95044.28797574047,1.777342367330743,31.233476561545544,0.0,1.2298330037675218,3.0,52800.330270958,13360.723155840002,35215.58073046,12.7912118434906
LMP + BESS West,95043.16031044968,1.0728881680595719,95041.42651685546,95044.53739324733,1.9444417574037471,31.131643352891953,0.0,1.2304840335249636,3.0,55584.12971695799,13994.235076260002,37143.16430142,13.872092008590698
LMP + BESS both,95041.533165599,1.036459958901353,95039.86013452608,95042.87481862871,4.063682334411891,30.64819577682812,0.0,2.4603170372924854,6.0,108384.459987916,21364.014868740003,78349.68839524,16.437077283859253
LMP + toll + BESS Houston,95044.07085051149,0.9946782832897296,95042.46871692211,95045.3685498549,2.302700984333735,27.425023600586805,3.1549899472015897,1.2298330037675198,3.0,52800.33027095797,7266.537245759926,41309.76664054001,12.366860151290894
LMP + toll + BESS West,95044.33913208047,0.9773732884727081,95042.7523714055,95045.61796736176,1.9259879057848657,26.779377923311376,3.1549899472015897,1.2304840335249636,3.0,55584.12971695799,14163.760363460002,36973.639014219996,12.280016899108887
LMP + toll + BESS both,95042.71198722975,0.9434450840972635,95041.1844724941,95043.95539274316,4.518051298533573,26.768753162988073,3.1549899472015897,2.460317037292483,6.0,108384.45998791598,16113.986263159926,83599.71700082002,20.01303768157959
