cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,binding_frac
peaker (720),720.0,95045.64420932438,1.0361192896058204,1.1250355929715443,48765.42998472,2.830083087755542,0.015337355948294083
intermediate (1500),1500.0,95045.69647048689,1.028501752585501,1.177296755494026,54199.89569464,3.1376817958112757,0.008182351403176328
near-nameplate (2280),2280.0,95045.69798551498,1.0287840721239874,1.178811783560959,54505.09569464,3.154831738083796,0.005413438343686435
uncapped (None),inf,95045.69799536216,1.028779276153091,1.1788216307602124,54507.89569464,3.1549899472015897,
