scenario,full_cost_mean_$M,variable_cost_mean_$M,leases_added_back_$M,toll_lease_$M,bess_lease_$M,std_$M,p05_$M,p95_$M
LMP only,19752.201667196805,19752.201667196805,0.0,0.0,0.0,1.5967166826469272,19749.603604920383,19754.19239336705
LMP + toll,19749.581765131687,19754.381765131686,4.800000000000001,4.800000000000001,0.0,1.3757588018491111,19747.3079855842,19751.271845788564
LMP + BESS Houston,19750.85211239136,19753.85211239136,3.0,0.0,3.0,1.5342908866089908,19748.358905324894,19752.74999401704
LMP + BESS West,19751.119728272508,19754.119728272508,3.0,0.0,3.0,1.5189270780885653,19748.65220490805,19752.98537731605
LMP + BESS both,19749.770173467063,19755.770173467063,6.0,0.0,6.0,1.456368177942859,19747.407505312567,19751.54297796604
LMP + toll + BESS Houston,19748.23221032624,19756.03221032624,7.800000000000001,4.800000000000001,3.0,1.3202172931470335,19746.06328598872,19749.87068343871
LMP + toll + BESS West,19748.499826207382,19756.29982620738,7.800000000000001,4.800000000000001,3.0,1.2972249120435315,19746.356585571863,19750.11434605093
LMP + toll + BESS both,19747.150271401944,19757.950271401944,10.8,4.800000000000001,6.0,1.2419252528916611,19745.111885976385,19748.71676146189
