scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,toll_lease_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s,full_cost_mean_$M,variable_cost_mean_$M,leases_added_back_$M
LMP only,19752.201667196805,1.5967166826469272,19749.603604920383,19754.19239336705,0.0,34.13679106065926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85016703605652,19752.201667196805,19752.201667196805,0.0
LMP + toll,19749.581765131687,1.3757588018491111,19747.3079855842,19751.271845788564,0.0,27.70955614488759,4.247136980892112,4.800000000000001,0.0,0.0,0.0,0.0,0.0,12.210849046707152,19749.581765131687,19754.381765131686,4.800000000000001
LMP + BESS Houston,19750.85211239136,1.5342908866089908,19748.358905324894,19752.74999401704,2.070139225729021,33.2043343542839,0.0,0.0,1.3521507375475952,3.0,56544.586224770006,13856.55287208,38164.46648822,17.190276384353638,19750.85211239136,19753.85211239136,3.0
LMP + BESS West,19751.119728272508,1.5189270780885653,19748.65220490805,19752.98537731605,2.2237551594728733,33.10474444071403,0.0,0.0,1.3377407037141518,3.0,59374.928259412,14405.038027800005,40219.89600378,15.595673322677612,19751.119728272508,19754.119728272508,3.0
LMP + BESS both,19749.770173467063,1.456368177942859,19747.407505312567,19751.54297796604,4.6917898639776,32.570183213114376,0.0,0.0,2.6898914412617465,6.0,115919.514484182,21826.967605720005,84818.98578616,21.348748445510864,19749.770173467063,19755.770173467063,6.0
LMP + toll + BESS Houston,19748.23221032624,1.3202172931470335,19746.06328598872,19749.87068343871,2.7275736730340894,27.434533885817245,4.247136980892112,4.800000000000001,1.352150737547592,3.0,56544.58622476996,7122.684321859842,44898.335038440026,14.885352611541748,19748.23221032624,19756.03221032624,7.800000000000001
LMP + toll + BESS West,19748.499826207382,1.2972249120435315,19746.356585571863,19750.11434605093,2.2295887232606195,26.6833430887301,4.247136980892112,4.800000000000001,1.3377407037141518,3.0,59374.928259412,14367.896768280005,40257.0372633,15.56812024116516,19748.499826207382,19756.29982620738,7.800000000000001
LMP + toll + BESS both,19747.150271401944,1.2419252528916611,19745.111885976385,19748.71676146189,5.250624751341999,26.701783184707047,4.247136980892112,4.800000000000001,2.6898914412617434,6.0,115919.51448418194,16327.136370379843,90318.81702150004,21.698270559310917,19747.150271401944,19757.950271401944,10.8
