cadence,full_cost_mean_$M,variable_cost_mean_$M,lease_added_back_$M,std_$M,p05_$M,p95_$M
90d,36372.21277735354,36383.01277735354,10.8,1.2419252528915152,36370.17439192798,36373.77926741348
85d,35586.74162261232,35597.54162261232,10.8,1.2419252528914706,35584.70323718676,35588.30811267226
75d,34142.46189676063,34153.26189676063,10.8,1.2419252528915132,34140.42351133507,34144.02838682058
74d,33976.142922548366,33986.94292254837,10.8,1.2419252528910836,33974.1045371228,33977.70941260831
63d,31873.45857455424,31884.25857455424,10.8,1.241925252892015,31871.420189128683,31875.025064614187
60d,31209.17787826648,31219.97787826648,10.8,1.2419252528913864,31207.13949284092,31210.744368326417
45d,27067.01936208155,27077.81936208155,10.8,1.2419252528917557,27064.980976656,27068.5858521415
30d,19747.150271401944,19757.950271401944,10.8,1.2419252528916611,19745.111885976385,19748.71676146189
25d,15645.65820728716,15656.45820728716,10.8,1.2419252528911469,15643.619821861605,15647.224697347105
