cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,toll_lease_$M,binding_frac
peaker (720),720.0,19746.47474922332,2.217608712512325,-2.4527393195298646,59094.900706199995,3.5970206410351566,4.800000000000001,0.018586107559065517
intermediate (1500),1500.0,19746.923038310848,2.0205104006738357,-2.0044502320024913,74071.68112992,4.528439709640331,4.800000000000001,0.011182319011159422
near-nameplate (2280),2280.0,19747.06529843892,1.9301257949772501,-1.8621901039329531,76926.34127116,4.733429518573011,4.800000000000001,0.007640313261898519
uncapped (None),inf,19747.077403857224,1.9216010702568578,-1.85008468562708,77071.14127116,4.747148377286305,4.800000000000001,
