scenario,delta_mean,delta_std,delta_p05,delta_p95
LMP only,0.0,0.0,0.0,0.0
LMP + toll,-1.85008468562708,0.7877842158224158,-2.8436055197647874,-0.6644507249016898
LMP + BESS Houston,-1.2316089575615479,0.1031670189349374,-1.3669633562991295,-1.0927516103367452
LMP + BESS West,-0.9602313753199997,0.12003318643145869,-1.1571262910705626,-0.8160353173669137
LMP + BESS both,-2.1918403328806018,0.2091894625316962,-2.5021148225987417,-1.9306010264108409
LMP + toll + BESS Houston,-3.0816936431887734,0.8778322534922397,-4.210683996762964,-1.786311177636708
LMP + toll + BESS West,-2.8103160609464974,0.8779073770687008,-3.9550866973229857,-1.495908326609424
LMP + toll + BESS both,-4.0419250185079,0.9692345891875367,-5.313713306071804,-2.617768779344442
