cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,toll_lease_$M,binding_frac
peaker (720),720.0,19746.194961871457,5.974240880920849,-2.1928624285147817,58116.230776820004,3.5138197662161383,4.800000000000001,0.018278303258611364
intermediate (1500),1500.0,19746.85658733755,5.057485279235178,-1.5312369624245183,72222.6014124,4.415968293779009,4.800000000000001,0.010903170503079712
near-nameplate (2280),2280.0,19747.12604798925,4.5600789280666945,-1.2617763107224165,74614.33148302,4.627652012896703,4.800000000000001,0.007410684778935847
uncapped (None),inf,19747.148513564094,4.515389015899184,-1.2393107358795532,74710.33148302,4.643640437274573,4.800000000000001,
