site,physical_net_$M,virtual_floating_$M,virtual_breakeven_$M,virtual_net_@$3M_$M,phys_minus_virt_$M
HOUSTON,-1.9117238739644795,1.6337280987265017,1.6337280987265017,-1.3662719012734983,-0.5454519726909812
WEST,-1.9117238739644795,1.8929263039702149,1.8929263039702149,-1.1070736960297851,-0.8046501779346944
