cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,toll_lease_$M,binding_frac
peaker (720),720.0,19747.633211941687,2.192934630674926,-2.510318137960712,59122.900706199995,3.4958460845995933,4.800000000000001,0.018594913919774053
intermediate (1500),1500.0,19748.074898909385,1.9942768383579355,-2.068631170268054,74089.41120054,4.402622066670506,4.800000000000001,0.011184995652255433
near-nameplate (2280),2280.0,19748.216529480083,1.902470247426362,-1.9270005995706014,76926.34127116,4.603186104763846,4.800000000000001,0.007640313261898519
uncapped (None),inf,19748.22862797294,1.8938004039397347,-1.9149021067145804,77071.14127116,4.616849253128484,4.800000000000001,
