scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,toll_lease_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s
LMP only,19750.14353007965,2.5753468349759956,19746.682556682234,19753.724450226226,0.0,36.194928177811384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.544996738433838
LMP + toll,19748.22862797294,1.8938004039397347,19745.650169002827,19750.830873210707,0.0,28.69298103139821,4.616849253128484,4.800000000000001,0.0,0.0,0.0,0.0,0.0,9.860780000686646
LMP + BESS Houston,19748.863011939065,2.485462817329584,19745.49768443588,19752.291187026545,2.2126459504174782,35.205656476708754,0.0,0.0,1.4824357921078186,3.0,56666.82104140201,13852.238221560001,38281.237169886,11.812484741210938
LMP + BESS West,19749.12836132589,2.4730938519918846,19745.77411263969,19752.53240854173,2.3851531085798574,35.119449330438904,0.0,0.0,1.4758007097127537,3.0,59402.084792577996,14310.971408420002,40338.94663354,11.782655715942383
LMP + BESS both,19747.847843185304,2.383172088897642,19744.589240393336,19751.09253014268,5.020412801292331,34.55279137163127,0.0,0.0,2.9582365018205725,6.0,116068.90583398001,21964.0022078,84819.391225606,16.285996675491333
LMP + toll + BESS Houston,19746.94810983235,1.8079984477108983,19744.44619352927,19749.477213267197,2.928694294209288,28.419757674087336,4.616849253128484,4.800000000000001,1.4824357921078155,3.0,56666.82104140197,7044.8710208198245,45088.604370626024,12.684030532836914
LMP + toll + BESS West,19747.21345921918,1.790064828296024,19744.73947245483,19749.67664770017,2.3795952540879033,27.61194432953378,4.616849253128484,4.800000000000001,1.4758007097127537,3.0,59402.084792577996,14376.6567925,40273.26124946,13.436564683914185
LMP + toll + BESS both,19745.93294107859,1.7043803610393107,19743.546114983685,19748.29222998811,5.632845601650797,27.663277025576505,4.616849253128484,4.800000000000001,2.958236501820569,6.0,116068.90583397998,16072.624404979822,90710.76902842602,17.82992935180664
