site,x,freq,floating_mean_$M,floating_std_$M,floating_p05_$M,floating_p95_$M,breakeven_fixed_$M,fixed_payment_$M,net_at_physical_$M
HOUSTON,1,D,0.5137970745408326,0.029004426466043252,0.4760735448392487,0.5550909235778047,0.5137970745408326,3.0,-2.4862029254591675
WEST,1,D,0.588534591382782,0.035053667601088065,0.5310864761329652,0.6361165433453371,0.588534591382782,3.0,-2.411465408617218
HOUSTON,2,D,0.9369029428251954,0.053100882276954496,0.8645360042164614,1.0140612225428773,0.9369029428251954,3.0,-2.0630970571748044
WEST,2,D,1.0789110316147463,0.0644013569561655,0.9760328855311585,1.1556221607806396,1.0789110316147463,3.0,-1.9210889683852537
HOUSTON,4,D,1.5617599838020635,0.0918029376024576,1.433963401181641,1.693215389630127,1.5617599838020635,3.0,-1.4382400161979365
WEST,4,D,1.8128117431404422,0.11316414884466472,1.6259080191235353,1.9689112000375366,1.8128117431404422,3.0,-1.1871882568595578
HOUSTON,8,D,2.2786783588750006,0.14064765708541171,2.0894473550598147,2.4724947697320556,2.2786783588750006,3.0,-0.7213216411249996
WEST,8,D,2.628625767883545,0.17200056517845877,2.334829113786011,2.8522263323394776,2.628625767883545,3.0,-0.37137423211645476
