scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP + toll,True,,148093.25856625577,26.969245228576053,148013.77604289196,148104.0067304982
LMP + toll + BESS West,True,WEST,148092.62346722066,25.852483408518722,148016.53983767136,148102.92283291553
LMP + toll + BESS Houston,True,HOUSTON,148092.34816058996,25.843646920979527,148016.1867341635,148102.66932218528
LMP + toll + BESS both,True,"HOUSTON,WEST",148091.71306155485,24.72687001995534,148018.95593354074,148101.58914537495
LMP only,False,,148090.83993096993,41.636585903094776,147965.9830290809,148106.77403151174
LMP + BESS West,False,WEST,148090.20483193483,40.52033395598358,147968.6613344764,148105.63601778226
LMP + BESS Houston,False,HOUSTON,148089.92952530415,40.511959052993824,147968.11185897246,148105.39373390315
LMP + BESS both,False,"HOUSTON,WEST",148089.29442626907,39.39573973374256,147970.785315895,148104.25572017368
