cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,toll_lease_$M,binding_frac
peaker (720),720.0,76107.84926763354,35.13555855812199,-0.5664486777537968,58991.731419840005,4.216933489590304,4.800000000000001,0.01855365948943237
intermediate (1500),1500.0,76109.67885508218,30.361634495768996,1.2631387708839612,73353.38070228,5.72191494306499,4.800000000000001,0.011073879936938407
near-nameplate (2280),2280.0,76110.73165387246,27.276026754280057,2.315937561157043,75661.38070228,6.46619558352739,4.800000000000001,0.007514677558308702
uncapped (None),inf,76110.8343515971,26.969245228571154,2.418635285825294,75729.38070228,6.555569000960412,4.800000000000001,
