mw_reserved,base_mean_$M
0.0,36363.40278066949
10.0,36364.111331049724
20.0,36364.81951333181
30.0,36365.52737549365
40.0,36366.234881023214
50.0,36366.94201887083
60.0,36367.648781032716
70.0,36368.3551344452
80.0,36369.061035408165
90.0,36369.76639168072
100.0,36370.471238292994
