scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP only,False,,36376.651790580225,1.6206125132276066,36374.01485220132,36378.672264509165
LMP + BESS West,False,WEST,36375.597611390884,1.5416497494186439,36373.09317926025,36377.49112258576
LMP + BESS Houston,False,HOUSTON,36375.32691781683,1.5572496594713297,36372.79640800317,36377.25315329211
LMP + BESS both,False,"HOUSTON,WEST",36374.27273862748,1.4781518651119014,36371.87473506209,36376.072011368706
LMP + toll,True,,36374.06491431237,1.3965956366460668,36371.756328729294,36375.77992924989
LMP + toll + BESS West,True,WEST,36373.010735123025,1.3168772205030497,36370.834655788225,36374.6489264963
LMP + toll + BESS Houston,True,HOUSTON,36372.74004154896,1.3402131370143495,36370.53788453113,36374.40267465742
LMP + toll + BESS both,True,"HOUSTON,WEST",36371.68586235962,1.2607398212012402,36369.61621159007,36373.275303295166
