scenario,delta_mean,delta_std,delta_p05,delta_p95
LMP only,0.0,0.0,0.0,0.0
LMP + toll,-2.5868762678553323,0.323061808625522,-2.9969229684733363,-2.1237793957883695
LMP + BESS Houston,-1.3248727634038369,0.07945824532136178,-1.4185916372276552,-1.1854620786059968
LMP + BESS West,-1.0541791893442132,0.09531304540402896,-1.2127320485627933,-0.9043672444153346
LMP + BESS both,-2.379051952748487,0.15813156526794112,-2.59716343854343,-2.0606860196110572
LMP + toll + BESS Houston,-3.911749031259169,0.3971559408781007,-4.385009034387804,-3.3358404312253698
LMP + toll + BESS West,-3.641055457199327,0.3831980147931686,-4.130762041025628,-2.9902649618181387
LMP + toll + BESS both,-4.965928220603819,0.4580524318071388,-5.528848269484479,-4.175727243067377
