mw_reserved,base_mean_$M,base_std_$M,lease_at_default_$M,net_at_default_K_mean_$M,solve_s
0.0,19751.589284628633,1.620612513226305,0.0,19751.589284628633,0.0
20.0,19752.034979926277,1.5733160099033867,0.96,19751.07497992628,11.051190376281738
40.0,19752.479299378585,1.526985775529173,1.92,19750.55929937859,12.78345799446106
60.0,19752.92213346639,1.4818529678710495,2.88,19750.042133466388,12.905816793441772
80.0,19753.36330829235,1.4382107935158361,3.84,19749.523308292355,12.947835445404053
100.0,19753.80240836078,1.3965956366440997,4.8,19749.002408360775,13.748816967010498
