mw_reserved,base_mean_$M,base_std_$M,lease_at_default_$M,net_at_default_K_mean_$M,solve_s
0.0,76110.05209576855,41.64363557004699,0.0,76110.05209576855,0.0
20.0,76111.47399903795,38.7089568916026,0.96,76110.51399903792,9.452687501907349
40.0,76112.89485332894,35.77459996139833,1.92,76110.97485332895,9.686662435531616
60.0,76114.3146129678,32.84075178594582,2.88,76111.43461296782,10.698797941207886
80.0,76115.73284428226,29.907555311934793,3.84,76111.89284428228,10.332807064056396
100.0,76117.149278432,26.975227045733703,4.8,76112.34927843201,10.505101919174194
