scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP + toll,True,,148094.19305053185,26.9731081952899,148014.67017738704,148104.90367833513
LMP + toll + BESS West,True,WEST,148093.5117969072,25.85601943541647,148017.38993518305,148103.77525754416
LMP + toll + BESS Houston,True,HOUSTON,148093.24161389784,25.847351642532583,148017.04345332895,148103.52642374265
LMP + toll + BESS both,True,"HOUSTON,WEST",148092.56036027317,24.730247632180948,148019.76828956287,148102.401634343
LMP only,False,,148091.86266669587,41.64097964681843,147966.96285319387,148107.74918914272
LMP + BESS West,False,WEST,148091.18141307123,40.524387163301775,147969.59602264487,148106.56804721933
LMP + BESS Houston,False,HOUSTON,148090.91123006184,40.516208538583165,147969.0938349816,148106.3300779257
LMP + BESS both,False,"HOUSTON,WEST",148090.22997643723,39.39964859034296,147971.68094484508,148105.1489360023
