cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,toll_lease_$M,binding_frac
peaker (720),720.0,76108.7969382265,35.14005339311271,-0.641513810743927,58271.33141984,4.113352685734323,4.800000000000001,0.018327084408917067
intermediate (1500),1500.0,76110.61476271582,30.365870974293614,1.1763106785927084,72274.59712975999,5.583109288236154,4.800000000000001,0.010911020098091785
near-nameplate (2280),2280.0,76111.66615839426,27.279908745723645,2.227706357021525,74491.39712976,6.3201277355185645,4.800000000000001,0.007398474956474065
uncapped (None),inf,76111.76883587323,26.973108195291807,2.3303838359634392,74558.59712975999,6.409421356164229,4.800000000000001,
