scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP only,False,,148105.92772362742,1.6212128981836575,148103.3207822401,148107.9442245961
LMP + BESS West,False,WEST,148104.86429092434,1.5424484998896824,148102.38920002518,148106.75445780106
LMP + BESS Houston,False,HOUSTON,148104.59462351547,1.5583001949543422,148102.09358624232,148106.51735066893
LMP + BESS both,False,"HOUSTON,WEST",148103.53119081238,1.4794013052779087,148101.1620040274,148105.32758387388
LMP + toll,True,,148103.39176558857,1.3950416378930681,148101.10758963303,148105.11915211013
LMP + toll + BESS West,True,WEST,148102.3283328855,1.3153872883684412,148100.17600741814,148103.98211167273
LMP + toll + BESS Houston,True,HOUSTON,148102.05866547662,1.3391450538394258,148099.88039363525,148103.7339282652
LMP + toll + BESS both,True,"HOUSTON,WEST",148100.9952327735,1.2597319687428827,148098.94881142039,148102.60050134195
