scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,toll_lease_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s
LMP only,76123.50350896879,1.6212128981855436,76120.89656758144,76125.52000993748,0.0,34.70500107262215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.056021213531494
LMP + toll,76120.96755092991,1.3950416378938764,76118.68337497438,76122.69493745152,0.0,28.07853684032437,4.362422271170378,4.800000000000001,0.0,0.0,0.0,0.0,0.0,9.789093017578125
LMP + BESS Houston,76122.17040885685,1.5583001949549191,76119.66937158366,76124.0931360103,2.0716416555171255,33.74352341037213,0.0,0.0,1.3662194297127022,3.0,56541.313759746,14019.4567579,37998.55193457999,12.773881435394287
LMP + BESS West,76122.44007626569,1.5424484998904935,76119.96498536652,76124.33024314242,2.2323429521289753,33.64247946135436,0.0,0.0,1.3582972664992192,3.0,59277.934032664,14555.475460320002,39980.22388268,12.75348162651062
LMP + BESS both,76121.10697615375,1.4794013052775379,76118.73778936877,76122.90336921524,4.7267444665264025,33.103761657984656,0.0,0.0,2.724516696211921,6.0,115819.24779241001,22127.380799500006,84426.32723598,16.70264172554016
LMP + toll + BESS Houston,76119.63445081799,1.3391450538442815,76117.4561789766,76121.30971360662,2.7523389297636864,27.797756452320865,4.362422271170378,4.800000000000001,1.3662194297126988,3.0,56541.313759745964,7219.905671339839,44798.10302114002,12.916954278945923
LMP + toll + BESS West,76119.90411822681,1.315387288372495,76117.75179275949,76121.55789701414,2.2360240511039478,27.019696328031568,4.362422271170378,4.800000000000001,1.3582972664992192,3.0,59277.934032664,14484.446103919998,40051.253239080004,14.245357275009155
LMP + toll + BESS both,76118.57101811488,1.2597319687474051,76116.5245967617,76120.17628668335,5.30647874971233,27.057031708872756,4.362422271170378,4.800000000000001,2.724516696211918,6.0,115819.24779240998,16227.818972459841,90325.88906302002,16.92321515083313
