K_per_kw_month,winning_scenario,mw_chosen,regime_label
5.0,LMP + toll,100.0,lmp_plus_toll_100mw
8.0,LMP + toll,100.0,lmp_plus_toll_100mw
10.646,LMP + toll,100.0,lmp_plus_toll_100mw
11.825,LMP + toll,60.0,lmp_plus_toll_60mw
