scenario,use_toll,bess_sites,mean_$M,std_$M,p05_$M,p95_$M
LMP only,False,,36377.2641731484,1.5967166826478831,36374.66611087197,36379.25489931864
LMP + BESS West,False,WEST,36376.18223422409,1.518927078088334,36373.71471085964,36378.047883267645
LMP + BESS Houston,False,HOUSTON,36375.914618342955,1.5342908866104494,36373.42141127649,36377.81249996863
LMP + BESS both,False,"HOUSTON,WEST",36374.83267941865,1.4563681779444198,36372.47001126416,36376.605483917636
LMP + toll,True,,36374.64427108327,1.3757588018488058,36372.370491535796,36376.33435174015
LMP + toll + BESS West,True,WEST,36373.56233215898,1.297224912042291,36371.419091523465,36375.176852002514
LMP + toll + BESS Houston,True,HOUSTON,36373.29471627783,1.320217293146856,36371.125791940314,36374.9331893903
LMP + toll + BESS both,True,"HOUSTON,WEST",36372.21277735354,1.2419252528915152,36370.17439192798,36373.779267413476
