site,physical_net_$M,virtual_floating_$M,virtual_breakeven_$M,virtual_net_@$3M_$M,phys_minus_virt_$M
HOUSTON,-1.9990507886420734,1.4999651849566653,1.4999651849566653,-1.5000348150433347,-0.4990159735987387
WEST,-1.9990507886420734,1.7534895868068847,1.7534895868068847,-1.2465104131931153,-0.7525403754489581
