cadence,mean_$M,std_$M,p05_$M,p95_$M
90d,36372.21277735354,1.2419252528915152,36370.17439192798,36373.779267413476
85d,35586.74162261232,1.2419252528914706,35584.70323718676,35588.30811267226
75d,34142.46189676063,1.2419252528915132,34140.42351133507,34144.02838682058
74d,33976.142922548366,1.2419252528910836,33974.1045371228,33977.70941260831
63d,31873.45857455424,1.241925252892015,31871.420189128683,31875.025064614187
60d,31209.177878266477,1.2419252528913864,31207.139492840917,31210.744368326417
45d,27067.01936208155,1.2419252528917555,27064.980976655996,27068.5858521415
30d,19747.150271401944,1.2419252528916611,19745.111885976385,19748.716761461892
25d,15645.65820728716,1.2419252528911469,15643.619821861603,15647.224697347105
