scenario,mean_$M,std_$M,p05_$M,p95_$M,rev_bess_$M,lmp_cost_$M,toll_cost_$M,toll_lease_$M,bess_ch_$M,bess_lease_$M,ch_mwh,dis_dc_mwh,dis_grid_mwh,solve_s
LMP only,76122.27357534766,1.6692884152795102,76119.58929454933,76124.34981685314,0.0,35.93493469376417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.321068048477173
LMP + toll,76119.80442349946,1.4370625889653146,76117.45086516673,76121.58251583956,0.0,29.112166134898942,4.491920407051149,4.800000000000001,0.0,0.0,0.0,0.0,0.0,10.200090169906616
LMP + BESS Houston,76120.98983933752,1.6045061138255072,76118.41460935025,76122.96951924455,2.1514229676161167,34.96169693494542,0.0,0.0,1.408396736565433,3.0,56529.249994162004,13815.758138520001,38191.151889600005,15.58756685256958
LMP + BESS West,76121.26566705115,1.588172053514702,76118.71717017671,76123.21180312362,2.304590679328378,34.82703723457224,0.0,0.0,1.4203964350270284,3.0,59047.829616852,14504.838010500001,39819.16527022,12.690770626068115
LMP + BESS both,76119.98193104102,1.5232514140130637,76117.54248497763,76121.83150551503,4.9062567281150375,34.30404255692404,0.0,0.0,2.8287931715924604,6.0,115577.07961101402,21791.40750538,84539.50580346001,16.77634310722351
LMP + toll + BESS Houston,76118.52068748935,1.379490247124931,76116.27617996764,76120.24510752663,2.8364926744802745,28.823998082944296,4.491920407051149,4.800000000000001,1.408396736565429,3.0,56529.249994161946,7207.452308019838,44799.45772010002,14.317973375320435
LMP + toll + BESS West,76118.79651520296,1.3550314305465787,76116.57874079411,76120.4986182569,2.3134017962689337,28.01307979264756,4.491920407051149,4.800000000000001,1.4203964350270284,3.0,59047.829616852,14480.784778659998,39843.21850205999,14.672590970993042
LMP + toll + BESS both,76117.51277919282,1.297706815072339,76115.40405559502,76119.16493071629,5.464481797675655,28.039499067619545,4.491920407051149,4.800000000000001,2.828793171592457,6.0,115577.07961101396,16379.546854825841,89951.36645401402,17.675588369369507
