mw_reserved,base_mean_$M,base_std_$M,lease_at_default_$M,net_at_default_K_mean_$M,solve_s
0.0,76122.27357534766,1.6692884152795102,0.0,76122.27357534766,0.0
20.0,76122.74227528482,1.6206460326732404,0.96,76121.7822752848,10.09570574760437
40.0,76123.20990467795,1.5730248374122615,1.92,76121.28990467796,10.124594926834106
60.0,76123.6764134245,1.5265540427215896,2.88,76120.79641342448,10.123814582824707
80.0,76124.14135452671,1.481214722832158,3.84,76120.30135452672,8.998530387878418
100.0,76124.60442349948,1.4370625889653144,4.8,76119.80442349946,10.197966814041138
