cap_label,cap_mwh_per_day,mean_$M,std_$M,delta_vs_lmp_$M,g_toll_total_mwh,toll_cost_$M,binding_frac
peaker (720),720.0,95044.52629077918,1.0672600221224866,1.158430505527358,48760.229984720005,2.9146949129600785,0.015335720481305356
intermediate (1500),1500.0,95044.5803388419,1.0594598916364202,1.2124785682637593,54223.11212212,3.2328482891387766,0.008185856298629227
near-nameplate (2280),2280.0,95044.58191374665,1.0597515066220713,1.2140534730040236,54530.31212212,3.2506098334369486,0.005415942835673309
uncapped (None),inf,95044.58192399597,1.0597465901030259,1.2140637223183877,54533.11212212,3.2507727236976454,
