site,x,freq,floating_mean_$M,floating_std_$M,floating_p05_$M,floating_p95_$M,breakeven_fixed_$M,fixed_payment_$M,net_at_physical_$M
HOUSTON,1,D,0.4339249497895813,0.015491276996175708,0.41592317387283334,0.4651569308776856,0.4339249497895813,3.0,-2.5660750502104186
WEST,1,D,0.5074161622799378,0.020419273102227575,0.47359223269927986,0.5416790713493348,0.5074161622799378,3.0,-2.492583837720062
HOUSTON,2,D,0.7950008354259643,0.02802808264954484,0.7607284274302675,0.8443887543170167,0.7950008354259643,3.0,-2.2049991645740357
WEST,2,D,0.9322793841234133,0.0371845309445558,0.8703804633381654,0.9930985529513551,0.9322793841234133,3.0,-2.0677206158765866
HOUSTON,4,D,1.3030936926853027,0.04496939859427268,1.2479769622283936,1.3801942164837648,1.3030936926853027,3.0,-1.6969063073146973
WEST,4,D,1.548679091308594,0.06229794494759358,1.4436701546267703,1.6460660965530398,1.548679091308594,3.0,-1.451320908691406
HOUSTON,8,D,1.865069823850098,0.06415859507662286,1.7855374441400147,1.9767466197729493,1.865069823850098,3.0,-1.134930176149902
WEST,8,D,2.2020001506799325,0.08966465429244964,2.0410365255786136,2.3395958006988526,2.2020001506799325,3.0,-0.7979998493200675
